SKU,Name,Description,Price,Categories,Sub-Category,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s),Attribute 10 name,Attribute 10 value(s),Attribute 11 name,Attribute 11 value(s),Attribute 12 name,Attribute 12 value(s),Attribute 13 name,Attribute 13 value(s),Attribute 14 name,Attribute 14 value(s) In,Attribute 15 name,Attribute 15 value(s) In,Attribute 16 name,Attribute 16 value(s) In,Attribute 17 name,Attribute 17 value(s) In
392611507,"Vial Kit - Clear 2.0ml Crimp Standard; 100μL Silanized Inserts Polymer Spring, Conical Precision Point Interior; Cap, 11mm Silver Aluminum, PTFE/Red Rubber Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",84,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardrubberinsertspring_sm.jpg, clearcrimpstandardrubberinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,100μL,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,Yes,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611508,"Vial Kit - Clear Glass 2.0ml Crimp Top Standard Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Silicone Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",32.2,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandptfesil_sm.jpg, clearcrimpstandptfesil.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Silicone,Insert Size,,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
392611509,"Vial Kit - Amber Glass 2.0ml Crimp Top Standard Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Silicone Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",32.9,"Vials, Caps, Seals, Inserts",Vial Kits,"ambercrimpstandptfesil_sm.jpg, ambercrimpstandptfesil.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Silicone,Insert Size,,Mouth Style,Standard Opening,Vial Material,Amber Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
392611510,"Vial Kit - Clear 2.0ml Crimp Standard; 100μL Inserts Polymer Spring, Conical Precision Point Interior; Cap, 11mm Silver Aluminum, PTFE/Silicone Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",91,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardptfesilinsertspring_sm.jpg, clearcrimpstandardptfesilinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Silicone,Insert Size,100μL,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
392611511,"Vial Kit - Clear 2.0ml Crimp Standard; 100μL Inserts, Conical Point Interior (No Spring Required); Cap, 11mm Silver Aluminum, PTFE/Silicone Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",54.6,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpstandardptfesilinsert_sm.jpg, clearcrimpstandardptfesilinsert.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Silicone,Insert Size,100μL,Mouth Style,Standard Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
392611512,"Vial Kit - Amber 2.0ml Crimp Standard; 100μL Inserts Polymer Spring, Conical Precision Point Interior; Cap, 11mm Silver Aluminum, PTFE/Silicone Septa","• Lot to lot quality assurance with lot number coding • Type 1 borosilicate glass • Packaged in a sturdy, easy open, one-piece clamshell tray • 11mm aluminum open hole crimp caps • Post baked Teflon/silicone septa for increased performance",84,"Vials, Caps, Seals, Inserts",Vial Kits,"ambercrimpstandardptfesilinsertspring_sm.jpg, ambercrimpstandardptfesilinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Silicone,Insert Size,100μL,Mouth Style,Standard Opening,Vial Material,Amber Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
392611517,"Polypropylene Vial Rack for 2.0ml, 12x32mm Vials, Holds 50 Vials","• Holds (50) 2.0ml, 12 x 32 mm Vials • Autoclavable • Stackable • Rated at -90°C for freezer storage",13.93,"Vials, Caps, Seals, Inserts",Accessories,"Vial-Rack_sm.jpg, Vial-Rack.jpg",Vial Size,,Top Style,,Cap/Seal Size,,Cap Material,,Cap Color,,Seal Material,,Insert Size,,Mouth Style,,Vial Material,,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,A4970-010,Seal Color,,Qty/pk,1
392611518,"Vial Kit - Clear Glass 2.0ml Crimp Top Wide Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Red Rubber Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",22.4,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimprubber_sm.jpg, clearcrimprubber.jpg, VialKit_CrimpTopWide.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,,Mouth Style,Wide Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,"392611501, 60180-209, A4957-010, A4957-100",Seal Color,Clear/Orange,Qty/pk,100
392611519,"Vial Kit - Amber Glass 2.0ml Crimp Top Wide Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Red Rubber Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",22.4,"Vials, Caps, Seals, Inserts",Vial Kits,"ambercrimprubber_sm.jpg, ambercrimprubber.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,,Mouth Style,Wide Opening,Vial Material,Amber Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611520,"Vial Kit - Clear 2.0ml Crimp Top Wide; 200μL Glass Inserts Polymer Spring, Conical Precision Formed Mandrel Interior; 11mm Silver Aluminum, PTFE/Red Rubber Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",81.9,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimptopwiderubberinsertspring_sm.jpg, clearcrimptopwiderubberinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,200μL,Mouth Style,Wide Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611521,"Vial Kit - Clear 2.0ml Crimp Top Wide Opening; 200μL Glass Inserts, Conical Point Interior (No Spring Required); 11mm Silver Aluminum, PTFE/Red Rubber Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",47.6,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimptopwiderubberinsert_sm.jpg, clearcrimptopwiderubberinsert.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,200μL,Mouth Style,Wide Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611522,"Vial Kit - Amber 2.0ml Crimp Top Wide; 200μL Glass Inserts Polymer Spring, Conical Precision Formed Mandrel Interior; 11mm Silver Aluminum, PTFE/Red Rubber Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",80.5,"Vials, Caps, Seals, Inserts",Vial Kits,"ambercrimptoprubberinsertspring_sm.jpg, ambercrimptoprubberinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,200μL,Mouth Style,Wide Opening,Vial Material,Amber Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611523,"Vial Kit - Clear Glass 2.0ml Silanized Crimp Top Wide Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Red Rubber Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",40.04,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimprubber_sm.jpg, clearcrimprubber.jpg, VialKit_CrimpTopWide.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,,Mouth Style,Wide Opening,Vial Material,Clear Glass,Silanized/Deactivated,Yes,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611524,"Vial Kit - Clear 2.0ml Crimp Wide; 200μL Silanized Glass Inserts Polymer Spring, Conical Precision Mandrel Interior; 11mm Silver Aluminum, PTFE/Red Rubber Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",90.57,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimptopwiderubberinsertspring_sm.jpg, clearcrimptopwiderubberinsertspring.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Red Rubber,Insert Size,200μL,Mouth Style,Wide Opening,Vial Material,Clear Glass,Silanized/Deactivated,Yes,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Clear/Orange,Qty/pk,100
392611525,"Vial Kit - Clear Glass 2.0ml Crimp Top Wide Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Silicone Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",29.2,"Vials, Caps, Seals, Inserts",Vial Kits,"clearcrimpptfesil_sm.jpg, clearcrimpptfesil.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Silicone,Insert Size,,Mouth Style,Wide Opening,Vial Material,Clear Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
392611526,"Vial Kit - Amber Glass 2.0ml Crimp Top Wide Opening Vial; Crimp Cap, 11mm Silver Aluminum w/ PTFE/Silicone Septa","• 40% larger opening. • Reduces the chance of bent or broken needles. • Improved autosampler needle accuracy & handling. • Post baked Teflon/silicone septa for increased performance. • Lot to lot quality assurance with lot number coding. • Type 1 borosilicate glass. • Packaged in a sturdy, easy open, one-piece clamshell tray. • New Improved Teflon/red rubber septa for increased performance. • Silane treated vials and inserts available for polar compounds i.e., amines, pesticides, phenols, proteins, etc. • 11mm aluminum open hole crimp caps.",31.5,"Vials, Caps, Seals, Inserts",Vial Kits,"ambercrimptopptfesil_sm.jpg, ambercrimptopptfesil.jpg, vialpacks.jpg",Vial Size,2ml (12 x 32mm),Top Style,Crimp Top,Cap/Seal Size,11 mm,Cap Material,Aluminum,Cap Color,Silver,Seal Material,PTFE/Silicone,Insert Size,,Mouth Style,Wide Opening,Vial Material,Amber Glass,Silanized/Deactivated,,Mass Spec Certified,,Graduated Markings/ Writing Patch,,Top/Bottom Shape,,Made In,USA,Similar to,,Seal Color,Red/White,Qty/pk,100
