SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Categories,Size,Temp. Rating,Guide Hole,Molded Septa,Bleed,Fits Instrument,Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s)
392611689,392611689,,,,,,,,,,392611689,Premium High Temp/Low Bleed Septa 12.5 mm (1/2 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,12.5 mm (1/2 in.),400°C,No,No,Low Bleed,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",50,50,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,12.5 mm (1/2 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",Qty/pk,50,Similar to,392611689
392611689-100,392611689-100,392611690,,,,,,,,,"392611689-100, 392611690",Premium High Temp/Low Bleed Septa 12.5 mm (1/2 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,12.5 mm (1/2 in.),400°C,No,No,Low Bleed,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",100,100,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,12.5 mm (1/2 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Agilent (HP) HP5750 & Earlier, Tracor 220, Tracor 222, Finnigan (TMQ) 9000, Finnigan (TMQ) 9500",Qty/pk,100,Similar to,"392611689-100, 392611690"
392611691,392611691,,,,,,,,,,392611691,Premium High Temp/Low Bleed Septa 17 mm (21/32 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,17 mm (21/32 in.),400°C,No,No,Low Bleed,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",50,50,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,17 mm (21/32 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",Qty/pk,50,Similar to,392611691
392611691-100,392611691-100,392611692,,,,,,,,,"392611691-100, 392611692",Premium High Temp/Low Bleed Septa 17 mm (21/32 in.),"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,17 mm (21/32 in.),400°C,No,No,Low Bleed,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",100,100,"Septahitemp11mmbrorange_sm.jpg, Septahitemp11mmbrorange.jpg",Size,17 mm (21/32 in.),Temp. Rating,400°C,Guide Hole,No,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Thermo Scientific TRACE GC/, Thermo Scientific Focus Split/ Splitless, Thermo Scientific GCQ w/TRACE, Thermo Scientific PTV, Thermo Scientific 8000 Series, Thermo Scientific TRACE Ultra GC",Qty/pk,100,Similar to,"392611691-100, 392611692"
392611693,392611693,,,,,,,,,,392611693,Premium High Temp/Low Bleed Septa Shimadzu Plug,"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,Shimadzu Plug,400°C,Yes,No,Low Bleed,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",50,50,"septashimdazubrorange_sm.jpg, septashimdazubrorange.jpg",Size,Shimadzu Plug,Temp. Rating,400°C,Guide Hole,Yes,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",Qty/pk,50,Similar to,392611693
392611693-100,392611693-100,392611694,,,,,,,,,"392611693-100, 392611694",Premium High Temp/Low Bleed Septa Shimadzu Plug,"• Injector Temperature 400°C 
• Conditioned For High Sensitivity Analysis 
• Lowest Bleed When Tested Against The Competition
• Long Injector Life, 170 + Injections 
• Carefully chosen to meet the varied requirements of gas chromatographic analyses 
• Packaged in Wide Mouth Glass Bottles",GC Septa,Shimadzu Plug,400°C,Yes,No,Low Bleed,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",100,100,"septashimdazubrorange_sm.jpg, septashimdazubrorange.jpg",Size,Shimadzu Plug,Temp. Rating,400°C,Guide Hole,Yes,Molded Septa,No,Bleed,Low Bleed,Fits Instrument,"Shimadzu All Models (14, 15A, 16, 17A), SRI All Other Models",Qty/pk,100,Similar to,"392611693-100, 392611694"
392611695,392611695,,,,,,,,,,392611695,"Premium Medium Temperature Septa, 5 mm (3/16 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,5 mm (3/16 in.),300°C,No,No,,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",50,40,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,5 mm (3/16 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",Qty/pk,50,Similar to,392611695
392611695-100,392611695-100,392611696,,,,,,,,,"392611695-100, 392611696","Premium Medium Temperature Septa, 5 mm (3/16 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,5 mm (3/16 in.),300°C,No,No,,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",100,80,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,5 mm (3/16 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Agilent (HP ) On-Column Injection, Agilent (HP) Capillary",Qty/pk,100,Similar to,"392611695-100, 392611696"
392611697,392611697,,,,,,,,,,392611697,"Premium Medium Temperature Septa, 9 mm (11/32 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,9 mm (11/32 in.),300°C,No,No,,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",50,40,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,9 mm (11/32 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",Qty/pk,50,Similar to,392611697
392611697-100,392611697-100,392611698,,,,,,,,,"392611697-100, 392611698","Premium Medium Temperature Septa, 9 mm (11/32 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,9 mm (11/32 in.),300°C,No,No,,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",100,80,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,9 mm (11/32 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker 1177, Thermo Scientific Large Volume Splitless Injector",Qty/pk,100,Similar to,"392611697-100, 392611698"
392611699,392611699,,,,,,,,,,392611699,"Premium Medium Temperature Septa, 9.5 mm (3/8 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,9.5 mm (3/8 in.),300°C,No,No,,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",50,40,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,9.5 mm (3/8 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",Qty/pk,50,Similar to,392611699
392611699-100,392611699-100,392611701,,,,,,,,,"392611699-100, 392611701","Premium Medium Temperature Septa, 9.5 mm (3/8 in.)","• Heat Stable To 300° C
• Unique Conditioning Process 
• Long Injection Life, 125+ Injections
• Low Bleed
• Offer overall dependability in the under 300° C temperature range 
• Packaged In Wide Mouth Glass Bottles",GC Septa,9.5 mm (3/8 in.),300°C,No,No,,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",100,80,"septamediumtempgreen_sm.jpg, septamediumtempgreen.jpg",Size,9.5 mm (3/8 in.),Temp. Rating,300°C,Guide Hole,No,Molded Septa,No,Bleed,0,Fits Instrument,"Varian/Bruker Packed Column, Varian/Bruker 1040, Varian/Bruker 1041, Varian/Bruker 1060, Varian/Bruker 1061, Agilent (HP) 5700, Agilent (HP) 5880, Agilent (HP) 5890, Agilent (HP) 6890, Agilent (HP) 6900, Tracor 550, Tracor 560, Finnigan (TMQ) GC 9001, Finnigan (TMQ) 9600, Finnigan (TMQ) GCQ, Finnigan (TMQ) QCQ, Finnigan (TMQ) TRACE 2000, Thermo Scientific GCQ, Thermo Scientific 9100, Gow Mac All Other Models, HNU Portable GC, Antek All Models, SRI Models With Heated Inlets",Qty/pk,100,Similar to,"392611699-100, 392611701"
