SKU,GCFerrules Part #,Varian Part #,J&W Liner #,Agilent Part #,Phenomenex Part #,Restek Liner #,SGE Liner #,CRS Part #,Perkin Elmer Part #,SGE Part #,Similar to,Name,Description,Material,Benefits/Uses,Categories,OD,ID,Length,Fits Injector Port,Fits GC Model,Volume (μL),Qty/pk,Price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s),Attribute 6 name,Attribute 6 value(s),Attribute 7 name,Attribute 7 value(s),Attribute 8 name,Attribute 8 value(s),Attribute 9 name,Attribute 9 value(s)
190010906,190010906,"03-918332-01, 03-918332-01",,8004-0167,AG0-4675,20776,92027,,,,"03-918332-01, 03-918332-01, 8004-0167, AG0-4675, 20776, 092027","Hi-Linearity GC Inlet Liner for 0.25mm & 0.32mm ID Columns, 1078/1079 & 1093/1094","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,High linearity for 0.25 & 0.32mm ID columns,GC Inlet Liners,4.6 mm,.5 mm,54 mm,Varian 1093/1094,Varian/Bruker,10,5,$140.00,"190010906_sm.jpg, 190010906.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High linearity for 0.25 & 0.32mm ID columns,OD,4.6 mm,ID,.5 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),10,Qty/pk,5,Similar to,"03-918332-01, 03-918332-01, 8004-0167, AG0-4675, 20776, 092027"
190010906-25,190010906-25,,,,,,,,,,,"Hi-Linearity GC Inlet Liner for 0.25mm & 0.32mm ID Columns, 1078/1079 & 1093/1094","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,High linearity for 0.25 & 0.32mm ID columns,GC Inlet Liners,4.6 mm,.5 mm,54 mm,Varian 1093/1094,Varian/Bruker,10,25,$650.00,"190010906_sm.jpg, 190010906.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High linearity for 0.25 & 0.32mm ID columns,OD,4.6 mm,ID,.5 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),10,Qty/pk,25,Similar to,
190010907,190010907,03-918332-02,,"8004-0162, 8004-0110",,,92034,,,,"03-918332-02, 8004-0162, 8004-0110, 092034",Hi-Linearity SPI Glass Insert for 0.53mm ID Columns 1078/1079,"• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,High linearity for 0.53mm ID columns,GC Inlet Liners,4.6 mm,.8 mm,54 mm,Varian 1093/1094,Varian/Bruker,30,5,$135.00,"190010907_sm.jpg, 190010907.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High linearity for 0.53mm ID columns,OD,4.6 mm,ID,.8 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),30,Qty/pk,5,Similar to,"03-918332-02, 8004-0162, 8004-0110, 092034"
190010907-25,190010907-25,,,,,,,,,,,Hi-Linearity SPI Glass Insert for 0.53mm ID Columns 1078/1079,"• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Enhanced Analytical Precision for Higher Molecular Weight Components 
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Consistent Dimensions, Tolerances and Quality
• Proven Silanization Technique, to Ensure Inertness
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays",Deactivated Borosilicate,High linearity for 0.53mm ID columns,GC Inlet Liners,4.6 mm,.8 mm,54 mm,Varian 1093/1094,Varian/Bruker,30,25,$650.00,"190010907_sm.jpg, 190010907.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,High linearity for 0.53mm ID columns,OD,4.6 mm,ID,.8 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),30,Qty/pk,25,Similar to,
190010908,190010908,01-900109-08,,,,,,,,,01-900109-08,"SPI Glass Insert w/Buffer, Injection Volumes >1µL 1093/1094","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Consistent dimensions, tolerances and quality
• Each Liner is deactivated to assure a clean, inert glass surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,"Dirty samples >1μL, fits 0.25, 0.32 & 0.53mm ID columns",GC Inlet Liners,4.6 mm,2.4 mm,54 mm,Varian 1093/1094,Varian/Bruker,200,5,$165.00,"190010908_sm.jpg, 190010908.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Dirty samples >1μL, fits 0.25, 0.32 & 0.53mm ID columns",OD,4.6 mm,ID,2.4 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),200,Qty/pk,5,Similar to,01-900109-08
190010908-25,190010908-25,,,,,,,,,,,"SPI Glass Insert w/Buffer, Injection Volumes >1µL 1093/1094","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Consistent dimensions, tolerances and quality
• Each Liner is deactivated to assure a clean, inert glass surface
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,"Dirty samples >1μL, fits 0.25, 0.32 & 0.53mm ID columns",GC Inlet Liners,4.6 mm,2.4 mm,54 mm,Varian 1093/1094,Varian/Bruker,200,25,$800.00,"190010908_sm.jpg, 190010908.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,"Dirty samples >1μL, fits 0.25, 0.32 & 0.53mm ID columns",OD,4.6 mm,ID,2.4 mm,Length,54 mm,Fits Injector Port,Varian 1093/1094,Fits GC Model,Varian/Bruker,Volume (μL),200,Qty/pk,25,Similar to,
392611921,392611921,,,N610-1052,,,,,,,N610-1052,"4mm GC Inlet Liner, PE, Autosystem 92x6.2mm OD Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Consistent dimensions, tolerances and quality
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,6.2 mm,4 mm,92 mm,,Perkin Elmer,1200,5,$135.00,"392611921_sm.jpg, 392611921.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.2 mm,ID,4 mm,Length,92 mm,Fits Injector Port,0,Fits GC Model,Perkin Elmer,Volume (μL),1200,Qty/pk,5,Similar to,N610-1052
392611921-25,392611921-25,,,,,,,,,,,"4mm GC Inlet Liner, PE, Autosystem 92x6.2mm OD Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Consistent dimensions, tolerances and quality
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,6.2 mm,4 mm,92 mm,,Perkin Elmer,1200,25,$675.00,"392611921_sm.jpg, 392611921.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.2 mm,ID,4 mm,Length,92 mm,Fits Injector Port,0,Fits GC Model,Perkin Elmer,Volume (μL),1200,Qty/pk,25,Similar to,
392611922,392611922,,,N610-1052 (Modified),"AG0-7639, AG0-7865",,"092092, 09209225",,,,"N610-1052 (Modified), AG0-7639, AG0-7865, 092092, 09209225","4mm GC Inlet Liner, PE, Packed w/Glass Wool Autosystem 92x6.2mm OD, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Consistent dimensions, tolerances and quality
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,6.2 mm,4 mm,92 mm,,Perkin Elmer,1200,5,$152.00,"392611922_sm.jpg, 392611922.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.2 mm,ID,4 mm,Length,92 mm,Fits Injector Port,0,Fits GC Model,Perkin Elmer,Volume (μL),1200,Qty/pk,5,Similar to,"N610-1052 (Modified), AG0-7639, AG0-7865, 092092, 09209225"
392611922-25,392611922-25,,,,,,,,,,,"4mm GC Inlet Liner, PE, Packed w/Glass Wool Autosystem 92x6.2mm OD, Split","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Consistent dimensions, tolerances and quality
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Glass Wool is Deactivated With Our Proprietary Deactivation Process
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,6.2 mm,4 mm,92 mm,,Perkin Elmer,1200,25,$725.00,"392611922_sm.jpg, 392611922.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.2 mm,ID,4 mm,Length,92 mm,Fits Injector Port,0,Fits GC Model,Perkin Elmer,Volume (μL),1200,Qty/pk,25,Similar to,
392611923,392611923,,,N610-1372,,,,,,,N610-1372,"2mm GC Inlet Liner, PE, 92 x 6.2mm OD Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Consistent dimensions, tolerances and quality
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,6.2 mm,2 mm,92 mm,,Perkin Elmer,350,5,$135.00,"392611923_sm.jpg, 392611923.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.2 mm,ID,2 mm,Length,92 mm,Fits Injector Port,0,Fits GC Model,Perkin Elmer,Volume (μL),350,Qty/pk,5,Similar to,N610-1372
392611923-25,392611923-25,,,,,,,,,,,"2mm GC Inlet Liner, PE, 92 x 6.2mm OD Splitless","• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Consistent dimensions, tolerances and quality
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive",Deactivated Borosilicate,,GC Inlet Liners,6.2 mm,2 mm,92 mm,,Perkin Elmer,350,25,$660.00,"392611923_sm.jpg, 392611923.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.2 mm,ID,2 mm,Length,92 mm,Fits Injector Port,0,Fits GC Model,Perkin Elmer,Volume (μL),350,Qty/pk,25,Similar to,
392611924,392611924,,210-3002-5,"5183-4703, 5181-8818","AG0-4649, AG0-4650","20713, 20714",92004,,,,"210-3002-5, 5183-4703, 5181-8818, AG0-4649, AG0-4650, 20713, 20714, 092004","2mm GC Inlet Liner for Varian(CP-1177) & Agilent (HP) 6.5 OD x 78.5 L x 2mm ID, Splitless","• GC Inlet Liner for Varian GCs (Model # CP-1177) and Agilent(HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,2 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",250,5,$80.00,"392611924_sm.jpg, 392611924.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,2 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),250,Qty/pk,5,Similar to,"210-3002-5, 5183-4703, 5181-8818, AG0-4649, AG0-4650, 20713, 20714, 092004"
392611924-25,392611924-25,,,,,,,,,,,"2mm GC Inlet Liner for Varian(CP-1177) & Agilent (HP) 6.5 OD x 78.5 L x 2mm ID, Splitless","• GC Inlet Liner for Varian GCs (Model # CP-1177) and Agilent(HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,2 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",250,25,$375.00,"392611924_sm.jpg, 392611924.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,2 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),250,Qty/pk,25,Similar to,
392611925,392611925,,,"210-3003-5, 8004-0106","AG0-4651, AG0-4652","20773, 20774","092007, 092222",,,,"210-3003-5, 8004-0106, AG0-4651, AG0-4652, 20773, 20774, 092007, 092222","4mm GC Inlet Liner for Varian(CP-1177) & Agilent (HP) 6.5 OD x 78.5 L x 4mm ID, Split/Splitless","• GC Inlet Liner for Varian GCs (Model # CP-1177) and Agilent(HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,5,$55.00,"392611925_sm.jpg, 392611925.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,5,Similar to,"210-3003-5, 8004-0106, AG0-4651, AG0-4652, 20773, 20774, 092007, 092222"
392611925-25,392611925-25,,,,,,,,,,,"4mm GC Inlet Liner for Varian(CP-1177) & Agilent (HP) 6.5 OD x 78.5 L x 4mm ID, Split/Splitless","• GC Inlet Liner for Varian GCs (Model # CP-1177) and Agilent(HP) GCs (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,4 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",1000,25,$275.00,"392611925_sm.jpg, 392611925.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,4 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),1000,Qty/pk,25,Similar to,
392611926,392611926,,,8004-0119,"AG0-4653, AG0-4654",,,,,,"8004-0119, AG0-4653, AG0-4654","2mm Gooseneck GC Inlet Liner for Agilent (HP) 6.5 OD x 78.5 L x 2mm ID, Split/Splitless","• GC Inlet Liner for Agilent(HP) GC (Model #'s 4890, 5880, 5890, 6850, 6890, Finnigan 9001, GCQ)
• In-house manufacturing that meets/exceeds instrument manufacturer’s specs
• Each Liner is deactivated to assure a clean, inert glass surface
• Ultra Clean Foil Wrapped Liners- An Industry Exclusive
• Packaged in Ultra Clean, White Non-Plastic Fluted Trays
• Made with a Consistent, High Quality Proprietary Deactivation Process",Deactivated Borosilicate,,GC Inlet Liners,6.5 mm,2 mm,78.5 mm,,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",250,5,$100.00,"392611926_sm.jpg, 392611926.jpg, linerpackaging.jpg",Material,Deactivated Borosilicate,Benefits/Uses,,OD,6.5 mm,ID,2 mm,Length,78.5 mm,Fits Injector Port,0,Fits GC Model,"Varian CP-1177, Agilent/HP 4890, Agilent/HP 5880, Agilent/HP 5890, Agilent/HP 6850, Agilent/HP 6890, Finnigan 9001, Finnigan GCQ",Volume (μL),250,Qty/pk,5,Similar to,"8004-0119, AG0-4653, AG0-4654"
